UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2023/03/15T01:45:32z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,46,14,1002.87,0.05,36504,0,970,4.12,7.62,8.19,4.12,7.62,8.19,32,32,752.9,214.4,44.17,3.72,0.24,0.24,5.22,9.82,11.36,5.22,9.82,11.36,41,41,873.76,252.73,58.47,7.85,1.82,0.44,
2023/03/15T01:47:32z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,46,14,1002.89,0.05,36504,0,1090,4.72,8.3,12.09,4.72,8.3,12.09,35,35,881.95,235,52.26,8.14,3.51,1.86,4.75,8.81,11,4.75,8.81,11,37,37,767.05,231.32,53.32,7.96,2.18,1.26,
2023/03/15T01:49:32z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,46,14,1002.9,0.05,36504,0,1210,4.73,8.09,9.88,4.73,8.09,9.88,34,34,776.04,224.96,43.71,6.21,1.29,0.36,5.17,9.05,11.37,5.17,9.05,11.37,38,38,840.35,249.47,60.08,4.87,2.83,1.53,
2023/03/15T01:51:43z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,47,15,1002.85,nan,36656,0,129,4.39,6.91,9.89,4.39,6.91,9.89,29,29,776.66,222.89,41.61,5.59,1.91,1.14,4.53,9.43,11,4.53,9.43,11,39,39,778.95,232.6,61.75,9.35,1.8,0.25,
2023/03/15T01:53:43z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,32,47,14,1002.8,0.05,36568,0,249,4.96,8.75,10.68,4.96,8.75,10.68,36,36,873.59,246.66,51.16,4.89,1.39,1.39,4.93,9.41,11.69,4.93,9.41,11.69,39,39,853.58,247.12,47.69,7.49,2.81,1.32,
2023/03/15T01:55:43z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,47,15,1002.85,0.05,36568,0,369,4.56,8.37,10.56,4.56,8.37,10.56,35,35,799.83,222.27,49.54,7.22,1.15,0.34,5.49,9.3,11.33,5.49,9.3,11.33,39,39,915.37,258.09,51.09,6.39,2.42,0.88,
2023/03/15T01:57:43z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,47,15,1003.36,0.05,36568,0,489,4.33,8.48,9.13,4.33,8.48,9.13,35,35,774.05,220.5,43.97,6.43,0.87,0.4,5.8,9.89,12.05,5.8,9.89,12.05,41,41,964.29,281.09,58.41,6.46,2.54,0.64,
2023/03/15T01:59:43z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,47,15,1002.76,0.05,36568,0,609,4.88,9.05,11.59,4.88,9.05,11.59,38,38,870.27,249.46,53.88,4.89,2.39,0.61,6.49,10.56,12.46,6.49,10.56,12.46,44,44,985.16,293.53,57.05,6.84,2.21,0.98,
2023/03/15T02:01:43z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,47,15,1002.72,0.05,36504,0,729,4.84,7.62,9.45,4.84,7.62,9.45,32,32,875.3,239.93,44.39,4.32,1.36,1.36,5.71,10.19,12.05,5.71,10.19,12.05,42,42,940.09,273.53,50.76,8.52,2.21,0.9,
2023/03/15T02:03:43z,84:f3:eb:7d:7:a8,6.01,2.0+OPENLOG+15552 MB+DS3231+BME280+PMSX003-B+PMSX003-A,33,47,15,1002.69,0.05,36504,0,849,4.68,9.8,11.34,4.68,9.8,11.34,41,41,825.64,234.5,53.23,7.39,1.29,0.96,6.12,10.14,11.46,6.12,10.14,11.46,42,42,938.79,273.33,57.04,4.28,1.23,0.67,
